id,isbn,penulis,tahun,judul,gambar,stok
1,316012823,Kate Atkinson,2006,One Good Turn,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,64
2,525425888,Nina LaCour,2014,Everything Leads to You,https://images.gr-assets.com/books/1389744233m/18667779.jpg,6
3,515141666,Nora Roberts,2006,Dance of the Gods,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,60
4,006117758X,Charles Bukowski,1982,Ham on Rye,https://images.gr-assets.com/books/1388195001m/38501.jpg,85
5,805073663,Doug Stanton,2001,In Harm's Way: The Sinking of the U.S.S. Indianapolis and the Extraordinary Story of Its Survivors,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,24
6,800759494,"Don Piper, Cecil Murphey",2004,90 Minutes in Heaven,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,54
7,374104115,Jeff VanderMeer,2014,Acceptance,https://images.gr-assets.com/books/1403941598m/18077752.jpg,40
8,439321603,"Newt Scamander, J.K. Rowling, Albus Dumbledore",2001,Fantastic Beasts and Where to Find Them,https://images.gr-assets.com/books/1303738520m/41899.jpg,123
9,446563080,Seth Grahame-Smith,2010,Abraham Lincoln: Vampire Hunter,https://images.gr-assets.com/books/1291165397m/7108001.jpg,62
10,61689424,Ellen Schreiber,2010,"Love Bites (Vampire Kisses, #7)",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,14
11,1556520743,"Assata Shakur, Angela Y. Davis, Lennox S. Hinds",1987,Assata: An Autobiography,https://images.gr-assets.com/books/1328857268m/100322.jpg,20
12,684833395,Joseph Heller,1961,Catch-22,https://images.gr-assets.com/books/1463157317m/168668.jpg,251
13,553286390,"Margaret Weis, Tracy Hickman",1990,"Dragon Wing (The Death Gate Cycle, #1)",https://images.gr-assets.com/books/1403168128m/28481.jpg,37
14,439895979,Libba Bray,2011,Beauty Queens,https://images.gr-assets.com/books/1289410187m/9464733.jpg,23
15,785121447,"Peter David, Robin Furth, Jae Lee, Richard Isanove, Stephen King",2007,The Dark Tower: The Gunslinger Born,https://images.gr-assets.com/books/1489721554m/342445.jpg,20
16,1590523172,Shaunti Feldhahn,2004,For Women Only: What You Need to Know about the Inner Lives of Men,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,19
17,751532711,Robert T. Kiyosaki,1997,"Rich Dad , Poor Dad",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,185
18,143036424,Craig Johnson,2004,The Cold Dish,https://images.gr-assets.com/books/1398028367m/109901.jpg,27
19,1101990260,Fiona Barton,2016,The Widow,https://images.gr-assets.com/books/1449178687m/25734248.jpg,68
